,Time,Treat
1,1,control
2,1,control
3,1,control
4,1,control
5,1,control
6,1,control
7,1,control
8,1,control
9,1,control
10,1,control
11,1,control
12,1,control
13,1,control
14,1,control
15,1,control
16,1,control
17,1,control
18,1,control
19,1,control
20,1,control
21,1,control
22,1,control
23,1,control
24,1,control
25,1,control
26,1,control
27,1,control
28,1,control
29,1,control
30,1,control
31,1,control
32,1,control
33,1,control
34,1,control
35,1,control
36,1,control
37,1,control
38,1,control
39,1,control
40,1,control
41,1,control
42,1,control
43,1,control
44,1,control
45,1,control
46,1,control
47,1,control
48,1,control
49,1,control
50,1,control
51,1,control
52,1,control
53,1,control
54,1,control
55,1,control
57,1,control
58,1,control
59,1,control
60,1,control
61,1,control
62,1,control
63,1,control
64,1,control
65,1,control
66,1,control
67,1,control
68,1,control
69,1,control
70,1,control
71,1,control
72,1,control
73,1,control
74,1,control
75,1,control
76,1,control
77,1,control
80,1,control
81,1,control
82,1,control
83,1,control
84,1,control
85,1,control
86,1,control
87,1,control
88,1,control
89,1,control
90,1,control
91,1,control
92,1,control
93,1,control
94,1,control
95,1,control
96,1,control
97,1,control
98,1,control
99,1,control
100,1,control
101,1,control
102,1,control
103,1,control
104,1,control
105,1,control
106,1,control
107,1,control
108,1,control
109,1,control
110,1,control
111,1,control
112,1,control
113,1,control
114,1,control
115,1,control
116,1,control
117,1,control
118,1,control
119,1,control
120,1,control
122,1,control
123,1,control
124,1,control
125,1,control
126,1,control
127,1,control
129,1,control
130,1,control
131,1,control
132,1,control
135,1,control
137,1,control
138,1,control
139,1,control
140,1,control
141,1,control
142,1,control
143,1,control
144,1,control
145,1,control
146,1,control
147,1,control
148,1,control
149,1,control
150,1,control
151,1,control
152,1,control
153,1,control
154,1,control
155,1,control
156,1,control
157,1,control
158,1,control
159,1,control
161,1,control
162,1,control
163,1,control
164,1,control
166,1,control
167,1,control
168,1,control
169,1,control
170,1,control
171,1,control
172,1,control
173,1,control
174,1,control
175,1,control
176,1,control
177,1,control
178,1,control
179,1,control
180,1,control
181,1,control
182,1,control
183,1,control
184,1,control
185,1,control
186,1,control
187,1,control
188,1,control
189,1,control
190,1,control
191,1,control
192,1,control
193,1,control
194,1,control
195,1,control
196,1,control
197,1,control
198,1,control
199,1,control
200,1,control
201,1,control
202,1,control
203,1,control
204,1,control
205,1,control
206,1,control
207,1,control
208,1,control
209,1,control
210,1,control
211,1,control
212,1,control
213,1,control
214,1,control
215,1,control
216,1,control
217,1,control
218,1,control
219,1,control
220,1,control
221,1,control
222,1,control
223,1,control
224,1,control
225,1,control
226,1,control
227,1,control
228,1,control
229,1,control
230,1,control
231,2,control
232,2,control
233,2,control
234,2,control
235,2,control
236,2,control
237,2,control
238,2,control
239,2,control
240,2,control
241,2,control
242,2,control
243,2,control
244,2,control
245,2,control
246,2,control
247,2,control
248,2,control
249,2,control
250,2,control
251,2,control
252,2,control
253,2,control
254,2,control
255,2,control
256,2,control
257,2,control
258,2,control
259,2,control
260,2,control
261,2,control
262,2,control
263,2,control
264,2,control
265,2,control
267,2,control
268,2,control
270,2,control
271,2,control
272,2,control
273,2,control
274,2,control
275,2,control
276,2,control
277,2,control
278,2,control
279,2,control
280,2,control
281,2,control
282,2,control
283,2,control
284,2,control
285,2,control
286,2,control
287,2,control
288,2,control
289,2,control
290,2,control
291,2,control
292,2,control
293,2,control
294,2,control
295,2,control
296,2,control
297,2,control
298,2,control
299,2,control
300,2,control
301,2,control
302,2,control
303,2,control
304,2,control
395,2,control
306,2,control
307,2,control
308,2,control
309,2,control
311,2,control
312,2,control
313,2,control
314,2,control
315,2,control
316,2,control
317,2,control
318,2,control
319,2,control
320,2,control
321,2,control
322,2,control
323,2,control
324,2,control
325,2,control
326,2,control
327,2,control
328,2,control
329,2,control
330,2,control
331,2,control
332,2,control
333,2,control
334,2,control
335,2,control
336,2,control
337,2,placebo
338,2,placebo
339,2,placebo
340,2,placebo
341,2,placebo
342,2,placebo
343,2,placebo
344,2,placebo
345,2,placebo
346,2,placebo
347,2,placebo
348,2,placebo
349,2,placebo
350,2,placebo
351,2,placebo
352,2,placebo
353,2,placebo
354,2,placebo
355,2,placebo
356,2,placebo
357,2,placebo
358,2,placebo
359,2,placebo
360,2,placebo
361,2,placebo
362,2,placebo
363,2,placebo
364,2,placebo
365,2,placebo
366,2,placebo
367,2,placebo
368,2,placebo
369,2,placebo
370,2,placebo
371,2,placebo
372,2,placebo
373,2,placebo
374,2,placebo
375,2,placebo
376,2,placebo
377,2,placebo
378,2,placebo
379,2,placebo
380,2,placebo
381,2,placebo
382,2,placebo
383,2,placebo
384,2,placebo
385,2,placebo
386,2,placebo
387,2,placebo
388,2,placebo
389,2,placebo
390,2,placebo
391,2,placebo
392,2,placebo
393,2,placebo
394,2,placebo
395,2,placebo
396,2,placebo
397,2,placebo
398,2,placebo
399,2,placebo
400,2,placebo
401,2,placebo
402,2,placebo
403,2,placebo
404,2,placebo
405,2,placebo
406,2,placebo
407,2,placebo
408,2,placebo
409,2,placebo
410,2,placebo
411,2,placebo
412,2,placebo
413,2,placebo
414,2,placebo
415,2,placebo
416,2,placebo
417,2,placebo
418,2,placebo
419,2,placebo
420,2,placebo
421,2,placebo
422,2,placebo
423,2,placebo
424,2,placebo
425,2,placebo
426,2,placebo
427,2,placebo
428,2,placebo
429,2,placebo
430,2,placebo
431,2,placebo
432,2,placebo
433,2,placebo
434,2,placebo
435,2,placebo
436,2,placebo
437,2,placebo
438,2,placebo
439,2,placebo
440,2,placebo
441,2,placebo
442,2,placebo
443,2,placebo
444,2,placebo
445,2,placebo
446,2,placebo
447,2,placebo
448,2,placebo
449,2,placebo
450,2,placebo
451,2,placebo
452,2,placebo
453,2,placebo
454,2,placebo
455,2,placebo
456,2,placebo
457,2,placebo
458,2,placebo
459,2,placebo
460,2,placebo
461,2,placebo
462,2,placebo
463,2,placebo
464,2,placebo
465,2,placebo
466,2,placebo
467,2,placebo
468,2,placebo
469,2,placebo
470,2,placebo
471,2,placebo
472,2,placebo
473,2,placebo
474,2,placebo
475,2,placebo
476,2,placebo
477,3,placebo
478,3,placebo
480,3,placebo
481,3,placebo
482,3,placebo
483,3,placebo
485,3,placebo
486,3,placebo
487,3,placebo
488,3,placebo
489,3,placebo
490,3,placebo
491,3,placebo
492,3,placebo
493,3,placebo
494,3,placebo
495,3,placebo
496,3,placebo
497,3,placebo
498,3,placebo
499,3,placebo
500,3,placebo
501,3,placebo
502,3,placebo
503,3,placebo
504,3,placebo
506,3,placebo
507,3,placebo
508,3,placebo
509,3,placebo
510,3,placebo
511,3,placebo
512,3,placebo
513,3,placebo
514,3,placebo
515,3,placebo
516,3,placebo
517,3,placebo
518,3,placebo
519,3,placebo
520,3,placebo
521,3,placebo
522,3,placebo
524,3,placebo
525,3,placebo
526,3,placebo
527,3,placebo
529,3,placebo
530,3,placebo
531,3,placebo
532,3,placebo
533,3,placebo
534,3,placebo
535,3,placebo
536,3,placebo
537,3,placebo
538,3,placebo
539,3,placebo
540,3,placebo
541,3,placebo
542,3,placebo
543,3,placebo
544,3,placebo
545,3,placebo
546,3,placebo
547,3,placebo
548,3,placebo
549,3,placebo
550,3,placebo
551,3,placebo
552,3,placebo
553,3,placebo
554,3,placebo
555,3,placebo
556,3,placebo
557,3,placebo
558,3,placebo
559,3,placebo
560,3,placebo
561,3,placebo
562,3,placebo
563,3,placebo
564,3,placebo
565,3,placebo
566,3,placebo
567,3,placebo
568,3,placebo
569,3,placebo
570,3,placebo
571,3,placebo
572,3,placebo
573,3,placebo
574,3,placebo
575,3,placebo
576,3,placebo
578,3,placebo
579,3,placebo
580,3,placebo
581,3,placebo
582,3,placebo
583,3,placebo
584,3,placebo
585,3,placebo
586,3,placebo
587,3,placebo
588,3,placebo
589,3,placebo
590,3,placebo
591,3,placebo
592,3,placebo
593,3,placebo
594,3,placebo
595,3,placebo
596,3,placebo
597,3,placebo
598,3,placebo
599,3,placebo
600,3,placebo
601,3,placebo
602,3,placebo
603,3,placebo
604,3,placebo
605,3,placebo
606,3,placebo
607,3,placebo
608,3,placebo
609,3,placebo
610,3,placebo
611,3,placebo
612,3,placebo
613,3,placebo
614,3,placebo
615,3,placebo
616,3,placebo
617,3,placebo
618,3,placebo
619,3,placebo
620,3,placebo
621,3,placebo
622,3,placebo
623,3,placebo
624,3,placebo
625,3,placebo
626,3,placebo
627,3,placebo
628,3,placebo
629,3,placebo
630,3,placebo
631,3,placebo
632,3,placebo
633,3,placebo
634,3,placebo
635,3,placebo
636,3,placebo
637,3,placebo
638,3,placebo
639,3,placebo
640,3,placebo
641,3,placebo
642,3,placebo
643,3,placebo
644,3,placebo
645,3,placebo
646,3,placebo
647,3,placebo
648,3,placebo
649,3,placebo
650,3,placebo
651,3,placebo
652,3,placebo
653,3,placebo
654,3,placebo
655,3,placebo
656,3,placebo
657,3,placebo
658,3,placebo
659,3,placebo
660,3,placebo
661,3,placebo
662,3,placebo
663,3,placebo
664,3,placebo
665,3,placebo
666,3,placebo
667,3,placebo
668,3,placebo
669,3,placebo
670,3,placebo
671,3,placebo
672,3,placebo
673,3,placebo
674,3,placebo
675,3,placebo
676,3,placebo
677,3,placebo
678,3,placebo
679,3,placebo
680,3,placebo
681,3,placebo
682,3,placebo
683,3,placebo
684,3,placebo
686,4,placebo
687,4,placebo
688,4,placebo
689,4,placebo
690,4,placebo
691,4,placebo
692,4,placebo
693,4,placebo
694,4,placebo
695,4,placebo
696,4,placebo
697,4,placebo
698,4,placebo
699,4,placebo
700,4,placebo
701,4,placebo
702,4,placebo
703,4,placebo
704,4,placebo
705,4,placebo
706,4,placebo
707,4,placebo
708,4,placebo
709,4,placebo
710,4,placebo
711,4,placebo
712,4,placebo
713,4,placebo
714,4,placebo
715,4,placebo
716,4,placebo
717,4,placebo
718,4,placebo
719,4,placebo
720,4,placebo
721,4,placebo
722,4,placebo
723,4,placebo
724,4,placebo
725,4,placebo
726,4,placebo
727,4,placebo
728,4,placebo
729,4,placebo
730,4,placebo
731,4,placebo
732,4,placebo
733,4,placebo
734,4,placebo
735,4,placebo
737,4,placebo
738,4,placebo
739,4,placebo
740,4,placebo
741,4,placebo
742,4,placebo
743,4,placebo
744,4,placebo
745,4,placebo
746,4,placebo
747,4,placebo
748,4,placebo
749,4,placebo
750,4,placebo
751,4,placebo
752,4,placebo
753,4,placebo
754,4,placebo
755,4,placebo
756,4,placebo
757,4,placebo
758,4,placebo
759,4,placebo
760,4,placebo
761,4,placebo
762,4,placebo
763,4,placebo
764,4,placebo
765,4,placebo
767,4,placebo
768,4,placebo
769,4,placebo
770,4,placebo
771,4,placebo
772,4,placebo
773,4,placebo
774,4,placebo
775,4,placebo
776,4,placebo
777,4,placebo
778,4,placebo
779,4,placebo
780,4,placebo
781,4,placebo
782,4,placebo
783,4,placebo
784,4,placebo
785,4,placebo
786,4,placebo
787,4,placebo
788,4,placebo
789,4,placebo
790,4,placebo
792,4,placebo
793,4,placebo
794,4,placebo
795,4,placebo
796,4,placebo
797,4,placebo
798,4,placebo
799,4,placebo
800,4,placebo
801,4,placebo
802,4,placebo
804,4,placebo
805,4,placebo
806,4,placebo
807,4,placebo
808,4,placebo
809,4,placebo
810,4,placebo
811,4,placebo
812,4,placebo
813,4,placebo
814,4,placebo
815,4,placebo
816,4,placebo
817,4,placebo
818,4,placebo
819,4,placebo
820,4,placebo
821,4,placebo
822,4,placebo
823,4,placebo
824,4,placebo
825,4,placebo
826,4,placebo
827,4,placebo
828,4,placebo
829,4,placebo
830,4,placebo
831,4,placebo
832,4,placebo
833,4,placebo
834,4,placebo
835,4,placebo
836,4,placebo
837,4,placebo
838,4,placebo
839,4,placebo
840,4,placebo
841,4,placebo
842,4,placebo
843,4,placebo
844,4,placebo
845,4,placebo
846,4,placebo
847,4,placebo
850,4,placebo
851,4,placebo
852,4,placebo
853,4,placebo
854,4,placebo
855,4,placebo
856,4,placebo
857,4,placebo
858,4,placebo
859,4,placebo
860,4,placebo
861,4,placebo
862,4,placebo
864,4,placebo
867,4,placebo
868,4,placebo
871,4,placebo
872,4,placebo
876,4,placebo
878,4,placebo
879,4,placebo
881,4,placebo
884,4,placebo
886,4,placebo
888,4,placebo
890,4,placebo
891,4,placebo
894,4,placebo
896,4,placebo
897,4,placebo
898,4,placebo
899,4,placebo
900,4,placebo
901,4,placebo
902,4,placebo
903,4,placebo
904,4,placebo
905,4,placebo
906,4,placebo